Name,Status,Transcription,Native,Population 2001,Population 2011,Population 2021
Dailekh,District,Dailēkha,दैलेख जिल्ला,"225,201","261,770","252,313"
Aathabis,Municipality,Āṭhabīsa,आठबीस नगरपालिका,"22,169","29,257","31,092"
Bhagawatimai,Rural Municipality,Bhagavatīmāī,भगवतीमाई गाउँपालिका,"15,887","18,778","18,206"
Bhairabi,Rural Municipality,Bhairavī,भैरवी गाउँपालिका,...,"21,233","18,767"
Chamunda Bindrasaini,Municipality,Cāmuṇḍā Bindrāsainī,चामुण्डा बिन्द्रासैनी नगरपालिका,"20,801","26,149","26,559"
Dullu,Municipality,Dullu,दुल्लु नगरपालिका,...,"41,540","39,143"
Dungeshwar,Rural Municipality,Ḍuṅgēśvara,डुङ्गेश्वर गाउँपालिका,"15,424","15,883","14,533"
Gurans,Rural Municipality,Gurā̃sa,गुराँस गाउँपालिका,"19,781","22,033","21,189"
Mahabu,Rural Municipality,Mahābu,महाबु गाउँपालिका,...,"19,277","18,059"
Narayan,Municipality,Nārāyaṇa,नारायण नगरपालिका,...,"27,922","26,111"
Naumule,Rural Municipality,Naumulē,नौमुले गाउँपालिका,"19,704","20,802","19,687"
Thantikandh,Rural Municipality,Ṭhā̃ṭīkā̃dha,ठाँटीकाँध गाउँपालिका,"14,801","18,896","18,301"
Dang Deukhuri,District,Dāṅa,दाङ जिल्ला,"462,380","552,583","674,993"
Babai,Rural Municipality,Babaī,बबई गाउँपालिका,"23,670","27,469","30,968"
Banglachuli,Rural Municipality,Baṅgalāculī,बंगलाचुली गाउँपालिका,...,"24,245","22,373"
Dangisharan,Rural Municipality,Daṅgīśaraṇa,दंगीशरण गाउँपालिका,"21,003","21,484","23,668"
Gadhawa,Rural Municipality,Gaḍhavā,गढवा गाउँपालिका,"34,724","38,663","45,898"
Ghorahi,Sub-Metropolis,Ghōrāhī,घोराही उपमहानगरपालिका,"125,119","158,628","200,530"
Lamahi,Municipality,Lamahī,लमही नगरपालिका,"38,632","48,012","59,050"
Rajpur,Rural Municipality,Rājapura,राजपुर गाउँपालिका,"21,564","25,061","28,346"
Rapti,Rural Municipality,Rāptī,राप्ती गाउँपालिका,...,"40,949","52,123"
Shantinagar,Rural Municipality,Śāntinagara,शान्तिनगर गाउँपालिका,"24,716","25,203","27,641"
Tulsipur,Sub-Metropolis,Tulsīpura,तुल्सीपुर उपमहानगरपालिका,"115,759","142,869","179,755"
Darchula,District,Dārculā,दार्चुला जिल्ला,"121,996","133,274","133,310"
Apihimal,Rural Municipality,Apihimāla,अपिहिमाल गाउँपालिका,...,"6,779","6,798"
Byans,Rural Municipality,Byā̃sa,ब्याँस गाउँपालिका,"10,346","10,347","9,668"
Duhun,Rural Municipality,Duhũ,दुहुँ गाउँपालिका,"10,607","10,818","9,842"
Lekam,Rural Municipality,Lēkama,लेकम गाउँपालिका,"15,137","14,838","13,743"
Mahakali,Municipality,Mahākālī,महाकाली नगरपालिका,...,"21,881","24,081"
Malikarjun,Rural Municipality,Mālikārjuna,मालिकार्जुन गाउँपालिका,"15,889","15,581","15,635"
Marma,Rural Municipality,Mārmā,मार्मा गाउँपालिका,...,"14,956","15,124"
Naugad,Rural Municipality,Naugāḍa,नौगाड गाउँपालिका,"13,143","15,874","15,528"
Shailyashikhar,Municipality,Śailyaśikhara,शैल्यशिखर नगरपालिका,"19,829","22,200","21,807"
Dhading,District,Dhādiṅa,धादिङ जिल्ला,"338,658","336,067","325,710"
Benighat Rorang,Rural Municipality,Bēnīghāṭa Rōrāṅga,बेनीघाट रोराङ्ग गाउँपालिका,"27,699","31,475","33,854"
Dhunibeshi,Municipality,Dhunivēśī,धुनिवेशी नगरपालिका,"31,029","31,029","29,149"
Gajuri,Rural Municipality,Gajurī,गजुरी गाउँपालिका,...,"27,841","28,634"
Galchhi,Rural Municipality,Galchī,गल्छी गाउँपालिका,...,"26,215","23,733"
Gangajamuna,Rural Municipality,Gaṅgājamunā,गङ्गाजमुना गाउँपालिका,"25,591","21,784","19,265"
Jwalamukhi,Rural Municipality,Jvālāmūkhī,ज्वालामूखी गाउँपालिका,"26,225","23,966","21,338"
Khaniyabas,Rural Municipality,Khaniyābāsa,खनियाबास गाउँपालिका,"13,530","12,749","10,287"
Netrawati Dabjong,Rural Municipality,Nētrāvatī Ḍabajōṅa,नेत्रावती डबजोङ गाउँपालिका,"15,699","12,870","11,310"
Nilkantha,Municipality,Nīlakaṇṭha,नीलकण्ठ नगरपालिका,"55,696","58,876","58,828"
Rubi Bhyali [Rubi Valley],Rural Municipality,Ruvī Bhyālī,रुवी भ्याली गाउँपालिका,"10,376","9,562","10,781"
Siddhalek,Rural Municipality,Siddhalēka,सिद्धलेक गाउँपालिका,"24,594","23,729","22,214"
Thakre,Rural Municipality,Thākrē,थाक्रे गाउँपालिका,...,"32,979","32,374"
Tripurasundari,Rural Municipality,Tripurāsundarī,त्रिपुरासुन्दरी गाउँपालिका,"25,096","22,992","21,937"
Dhankuta,District,Dhanakuṭā,धनकुटा जिल्ला,"166,479","163,412","150,599"
Chaubise,Rural Municipality,Cauvisē,चौविसे गाउँपालिका,"21,794","19,283","17,677"
Chhathar Jorpati,Rural Municipality,Chathara Jōrapāṭī,छथर जोरपाटी गाउँपालिका,"19,693","18,322","16,456"
Dhankuta,Municipality,Dhanakuṭā,धनकुटा नगरपालिका,"30,994","38,629","35,983"
Mahalaxmi,Municipality,Mahālakṣmī,महालक्ष्मी नगरपालिका,"26,324","24,800","22,182"
Pakhribas,Municipality,Pākhrībāsa,पाख्रीबास नगरपालिका,"24,273","22,078","19,104"
Sahidbhumi [Khalsachhintang Shahidbhumi],Rural Municipality,Sahidabhūmi,सहिदभूमि गाउँपालिका,"18,911","18,763","17,767"
Sangurigadhi,Rural Municipality,Sāgurīgaḍhī,सागुरीगढी गाउँपालिका,"23,080","21,537","19,561"
Dhanusa,District,Dhanuṣā,धनुषा जिल्ला,"671,364","754,777","867,747"
Aurahi,Rural Municipality,Aurahī,औरही गाउँपालिका,"20,963","22,578","24,053"
Bateshwar,Rural Municipality,Baṭēśvara,बटेश्वर गाउँपालिका,"18,405","21,530","21,742"
Bidehi,Municipality,Vidēha,विदेह नगरपालिका,"31,266","32,266","37,697"
Chhireshwarnath,Municipality,Chirēśvaranātha,छिरेश्वरनाथ नगरपालिका,...,"42,155","51,075"
Dhanauji,Rural Municipality,Dhanaujī,धनौजी गाउँपालिका,"18,964","21,395","21,942"
Dhanushadham,Municipality,Dhanuṣādhāma,धनुषाधाम नगरपालिका,...,"45,585","52,024"
Ganeshman Charnath,Municipality,Gaṇēśamāna Cāranātha,गणेशमान चारनाथ नगरपालिका,...,"36,338","44,082"
Hansapur,Municipality,Haṃsapura,हंसपुर नगरपालिका,...,"38,216","44,949"
Janaknandini,Rural Municipality,Janakanandinī,जनकनन्दिनी गाउँपालिका,"23,716","25,338","28,208"
Janakpur,Sub-Metropolis,Janakapura,जनकपुर उपमहानगरपालिका,...,"162,842","194,556"
Kamala,Municipality,Kamalā,कमला नगरपालिका,"37,723","38,624","44,597"
Lakshminiya,Rural Municipality,Lakṣmīniyā,लक्ष्मीनिया गाउँपालिका,"26,095","28,251","31,881"
Mithila,Municipality,Mithilā,मिथिला नगरपालिका,...,"45,227","48,676"
Mithila Bihari,Municipality,Mithilā Bihārī,मिथिला बिहारी नगरपालिका,...,"33,556","38,273"
Mukhiyapatti Musharmiya,Rural Municipality,Mukhiyāpaṭṭī Musaharamiyā,मुखियापट्टी मुसहरमिया गाउँपालिका,...,"25,482","28,208"
Nagrain,Municipality,Nagarāina,नगराइन नगरपालिका,"33,485","35,583","38,037"
Sabaila,Municipality,Sabailā,सबैला नगरपालिका,...,"52,389","62,282"
Shahidnagar,Municipality,Śahīdanagara,शहीदनगर नगरपालिका,...,"47,422","53,812"
Dolakha,District,Dōlakhā,दोलखा जिल्ला,"204,229","186,557","172,767"
Baiteshwar,Rural Municipality,Vaitēśvara,वैतेश्वर गाउँपालिका,"21,826","19,876","17,896"
Bhimeshwar,Municipality,Bhīmēśvara,भीमेश्वर नगरपालिका,"33,677","33,324","34,712"
Bigu,Rural Municipality,Vigu,विगु गाउँपालिका,"18,536","18,592","16,490"
Gaurishankar,Rural Municipality,Gaurīśaṅkara,गौरीशङ्कर गाउँपालिका,"18,626","17,140","15,995"
Jiri,Municipality,Jirī,जिरी नगरपालिका,...,"15,837","16,109"
Kalinchok,Rural Municipality,Kāliñcōka,कालिञ्चोक गाउँपालिका,"23,274","22,954","21,097"
Melung,Rural Municipality,Mēluṅga,मेलुङ्ग गाउँपालिका,"18,043","20,287","15,893"
Shailung,Rural Municipality,Śailuṅga,शैलुङ्ग गाउँपालिका,"19,561","19,698","17,923"
Tamakoshi,Rural Municipality,Tāmākōśī,तामाकोशी गाउँपालिका,"20,214","18,849","15,163"
Dolpa,District,Ḍōlpā,डोल्पा जिल्ला,"29,545","36,700","42,774"
Chharka Tangsong,Rural Municipality,Chārkā Tāṅasōṅa,छार्का ताङसोङ गाउँपालिका,"1,283","1,451","1,672"
Dolpo Buddha,Rural Municipality,Ḍōlpō Buddha,डोल्पो बुद्ध गाउँपालिका,"1,897","2,137","2,420"
Jagdulla,Rural Municipality,Jagadullā,जगदुल्ला गाउँपालिका,...,"2,322","2,575"
Kaike,Rural Municipality,Kāīkē,काईके गाउँपालिका,...,"3,303","3,965"
Mudkechula,Rural Municipality,Muḍkēculā,मुड्केचुला गाउँपालिका,"3,933","5,165","5,803"
She Phoksundo,Rural Municipality,Śē Phōksunḍō,शे फोक्सुन्डो गाउँपालिका,...,"3,136","3,635"
Thuli Bheri,Municipality,Ṭhūlī Bhērī,ठूली भेरी नगरपालिका,...,"8,571","9,861"
Tripurasundari,Municipality,Tripurāsundarī,त्रिपुरासुन्दरी नगरपालिका,...,"10,615","12,233"
Doti,District,Ḍōṭī,डोटी जिल्ला,"207,066","211,746","204,831"
Aadarsha,Rural Municipality,Ādarśa,आदर्श गाउँपालिका,"24,208","24,482","24,495"
Badikedar,Rural Municipality,Baḍīkēdāra,बडीकेदार गाउँपालिका,"16,572","16,731","14,902"
Bogtan Phudsil,Rural Municipality,Bōgaṭāna Phuḍsila,बोगटान फुड्सिल गाउँपालिका,"19,638","17,906","15,540"
Dipayal Silgadhi,Municipality,Dipāyala Silagaḍhī,दिपायल सिलगढी नगरपालिका,...,"36,038","33,968"
Jorayal,Rural Municipality,Jōrāyala,जोरायल गाउँपालिका,...,"21,296","19,788"
Khaptad National Park,National Park,Khaptaḍa Rāṣṭriya Nikuñja,खप्तड राष्ट्रिय निकुञ्ज,0,0,0
K.I. Singh,Rural Municipality,K.Ī. Siṃha,के.आई.सिंह गाउँपालिका,"21,073","20,903","20,736"
Purbichauki,Rural Municipality,Pūrvīcaukī,पूर्वीचौकी गाउँपालिका,...,"22,489","21,494"
Sayal,Rural Municipality,Sāyala,सायल गाउँपालिका,...,"19,575","20,456"
Shikhar,Municipality,Śikhara,शिखर नगरपालिका,"32,462","32,326","30,399"
East Rukum,District,Purvī Rukuma,पुर्वी रुकुम जिल्ला,"48,051","53,184","56,786"
Bhume,Rural Municipality,Bhūmē,भूमे गाउँपालिका,...,"18,641","19,829"
Dhorpatan Hunting Reserve,Hunting Reserve,Ḍhōrapāṭana Śikāra Ārakṣa,ढोरपाटन शिकार आरक्ष,0,0,0
Putha Uttarganga,Rural Municipality,Puthā Uttaragaṅgā,पुथा उत्तरगंगा गाउँपालिका,"16,842","17,999","18,308"
Sisne,Rural Municipality,Sisnē,सिस्ने गाउँपालिका,...,"16,544","18,534"
Gorkha,District,Gōrakhā,गोरखा जिल्ला,"288,134","271,061","251,027"
Aarughat,Rural Municipality,Ārūghāṭa,आरूघाट गाउँपालिका,"24,337","23,915","21,572"
Ajirkot,Rural Municipality,Ajirakōṭa,अजिरकोट गाउँपालिका,"17,737","15,602","12,832"
Bhimsen,Rural Municipality,Bhimasēnathāpā,भिमसेनथापा गाउँपालिका,"24,885","22,053","16,986"
Chumanuwri,Rural Municipality,Cumanuvrī,चुमनुव्री गाउँपालिका,...,"7,417","5,932"
Dharche,Rural Municipality,Dhārcē,धार्चे गाउँपालिका,"13,553","13,264","14,263"
Gandaki,Rural Municipality,Gaṇḍakī,गण्डकी गाउँपालिका,"25,122","23,262","21,394"
Gorkha,Municipality,Gōrakhā,गोरखा नगरपालिका,"44,433","50,684","52,468"
Palungtar,Municipality,Pāluṅaṭāra,पालुङटार नगरपालिका,"42,117","38,244","37,409"
Shahid Lakhan,Rural Municipality,Śahida Lakhana,शहिद लखन गाउँपालिका,"31,649","27,555","23,076"
Siranchok,Rural Municipality,Sirānacōka,सिरानचोक गाउँपालिका,"28,010","23,666","19,719"
Sulikot,Rural Municipality,Sulīkōṭa,सुलीकोट गाउँपालिका,"27,415","25,399","22,636"
Gulmi,District,Gulmī,गुल्मी जिल्ला,"296,654","280,160","246,494"
Chandrakot,Rural Municipality,Candrakōṭa,चन्द्रकोट गाउँपालिका,"24,502","21,907","18,662"
Chhatrakot,Rural Municipality,Chatrakōṭa,छत्रकोट गाउँपालिका,"23,461","21,504","19,357"
Dhurkot,Rural Municipality,Dhurkōṭa,धुर्कोट गाउँपालिका,...,"22,468","18,814"
Gulmi Darbar,Rural Municipality,Gulmī Darabāra,गुल्मी दरबार गाउँपालिका,"24,373","22,047","19,296"
Isma,Rural Municipality,Īsmā,ईस्मा गाउँपालिका,"21,925","21,030","18,529"
