Name,Status,Transcription,Native,Population 2001,Population 2011,Population 2021
Kaligandaki,Rural Municipality,Kālīgaṇḍakī,कालीगण्डकी गाउँपालिका,"26,598","21,824","17,955"
Phedikhola,Rural Municipality,Phēdīkhōlā,फेदीखोला गाउँपालिका,"13,885","12,341","10,899"
Putalibazar,Municipality,Putalībajāra,पुतलीबजार नगरपालिका,...,"45,510","41,743"
Waling,Municipality,Vāliṅa,वालिङ नगरपालिका,...,"51,437","50,488"
Tanahun,District,Tanahũ,तनहुँ जिल्ला,"315,237","323,288","321,153"
Anbukhaireni,Rural Municipality,Ā̃bukhairēnī,आँबुखैरेनी गाउँपालिका,"18,489","20,840","22,252"
Bandipur,Rural Municipality,Bandīpura,बन्दीपुर गाउँपालिका,...,"20,077","18,532"
Bhanu,Municipality,Bhānu,भानु नगरपालिका,...,"46,179","42,794"
Bhimad,Municipality,Bhimāda,भिमाद नगरपालिका,...,"31,362","29,248"
Devghat,Rural Municipality,Dēvaghāṭa,देवघाट गाउँपालिका,...,"16,478","14,584"
Ghiring,Rural Municipality,Ghiriṅa,घिरिङ गाउँपालिका,...,"19,318","14,334"
Myagde,Rural Municipality,Myāgdē,म्याग्दे गाउँपालिका,"23,370","22,502","23,578"
Rhishing,Rural Municipality,R̥ṣiṅga,ऋषिङ्ग गाउँपालिका,...,"25,870","17,918"
Shuklagandaki,Municipality,Śuklagaṇḍakī,शुक्लगण्डकी नगरपालिका,...,"49,611","55,620"
Vyas,Municipality,Vyāsa,व्यास नगरपालिका,...,"71,051","78,939"
Taplejung,District,Tāplējuṅa,ताप्लेजुङ जिल्ला,"134,698","127,461","120,590"
Aathrai Tribeni,Rural Municipality,Āṭharāī Trivēṇī,आठराई त्रिवेणी गाउँपालिका,"15,978","13,784","12,296"
Maiwakhola,Rural Municipality,Maivākhōlā,मैवाखोला गाउँपालिका,"12,485","11,094","10,213"
Meringden,Rural Municipality,Mēriṅadēna,मेरिङदेन गाउँपालिका,...,"13,284","11,838"
Mikwakhola,Rural Municipality,Mikvākhōlā,मिक्वाखोला गाउँपालिका,"9,561","9,160","7,964"
Pathibhara Yangwarak,Rural Municipality,Pāthībharā Yāṅavaraka,पाथीभरा याङवरक गाउँपालिका,"15,509","13,591","11,806"
Phaktanglung,Rural Municipality,Phaktāṅaluṅa,फक्ताङलुङ गाउँपालिका,"12,938","12,017","11,791"
Phungling,Municipality,Phuṅaliṅa,फुङलिङ नगरपालिका,"23,651","26,626","28,449"
Sidingwa,Rural Municipality,Sidiṅvā,सिदिङ्वा गाउँपालिका,"13,477","12,099","10,979"
Sirijangha,Rural Municipality,Sirījaṅghā,सिरीजङ्घा गाउँपालिका,"17,134","15,806","14,114"
Tehrathum,District,Tēhrathuma,तेह्रथुम जिल्ला,"113,111","101,577","88,731"
Aathrai,Rural Municipality,Āṭharāī,आठराई गाउँपालिका,"25,374","21,747","18,156"
Chhathar,Rural Municipality,Chathara,छथर गाउँपालिका,"19,398","16,715","14,197"
Laligurans,Municipality,Lālīgurā̃sa,लालीगुराँस नगरपालिका,"18,205","17,000","15,329"
Menchhayayem,Rural Municipality,Mēnchayāyēma,मेन्छयायेम गाउँपालिका,"9,694","8,078","6,678"
Myanglung,Municipality,Myāṅaluṅa,म्याङलुङ नगरपालिका,...,"20,337","18,750"
Phedap,Rural Municipality,Phēdāpa,फेदाप गाउँपालिका,"20,596","17,700","15,169"
Udayapur,District,Udayapura,उदयपुर जिल्ला,"287,689","317,532","340,721"
Belaka,Municipality,Bēlakā,बेलका नगरपालिका,"38,727","42,450","51,043"
Chaudandigadhi,Municipality,Caudaṇḍīgaḍhī,चौदण्डीगढी नगरपालिका,"45,023","48,750","53,631"
Katari,Municipality,Kaṭārī,कटारी नगरपालिका,"50,505","56,545","59,507"
Koshi Tappu Wildlife Reserve,Wildlife Reserve,Kōśī Ṭappu Vanyajantu Ārakṣa,कोशी टप्पु वन्यजन्तु आरक्ष,0,0,0
Limchungbung [Sunkoshi],Rural Municipality,Limcuṅbuṅa,लिम्चुङ्बुङ गाउँपालिका,"13,800","11,992","9,689"
Rautamai,Rural Municipality,Rautāmāī,रौतामाई गाउँपालिका,"23,113","23,481","20,324"
Tapli,Rural Municipality,Tāplī,ताप्ली गाउँपालिका,"14,643","14,567","13,344"
Triyuga,Municipality,Triyugā,त्रियुगा नगरपालिका,"71,131","88,967","102,725"
Udayapurgadhi,Rural Municipality,Udayapuragaḍhī,उदयपुरगढी गाउँपालिका,"29,741","30,780","28,926"
West Rukum,District,Paścima Rukuma,पश्चिम रुकुम जिल्ला,"140,387","155,383","166,740"
Aathbiskot,Municipality,Āṭhavisakōṭa,आठविसकोट नगरपालिका,...,"33,624","35,917"
Banphikot,Rural Municipality,Bā̃phikōṭa,बाँफिकोट गाउँपालिका,...,"18,696","21,033"
Chaurjahari,Municipality,Caurajahārī,चौरजहारी नगरपालिका,...,"27,583","28,956"
Musikot,Municipality,Musikōṭa,मुसिकोट नगरपालिका,...,"33,882","34,270"
Sani Bheri,Rural Municipality,Sānī Bhērī,सानी भेरी गाउँपालिका,...,"22,194","24,759"
Triveni,Rural Municipality,Trivēṇī,त्रिवेणी गाउँपालिका,...,"19,404","20,525"
Nepal,Federal Republic,Nēpāla,नेपाल,"23,151,423","26,494,504","29,164,578"
